date,transactions
02/01/2016,69628
04/01/2016,17829
05/01/2016,89018
06/01/2016,88846
07/01/2016,80412
08/01/2016,83344
09/01/2016,100975
10/01/2016,97323
11/01/2016,80506
12/01/2016,77696
13/01/2016,76217
14/01/2016,74909
15/01/2016,83105
16/01/2016,99698
17/01/2016,95155
18/01/2016,81486
19/01/2016,76092
20/01/2016,82989
21/01/2016,74141
22/01/2016,79760
23/01/2016,95634
24/01/2016,89786
25/01/2016,76042
26/01/2016,75639
27/01/2016,76912
28/01/2016,73110
29/01/2016,81081
30/01/2016,98201
31/01/2016,95671
01/02/2016,87827
02/02/2016,84928
03/02/2016,84704
04/02/2016,82446
05/02/2016,89355
06/02/2016,100641
07/02/2016,78884
08/02/2016,75047
09/02/2016,79222
10/02/2016,86720
11/02/2016,81444
12/02/2016,87451
13/02/2016,101849
14/02/2016,99462
15/02/2016,83293
16/02/2016,81192
17/02/2016,80996
18/02/2016,74797
19/02/2016,82564
20/02/2016,95533
21/02/2016,91533
22/02/2016,79775
23/02/2016,77672
24/02/2016,78364
25/02/2016,74029
26/02/2016,80200
27/02/2016,95659
28/02/2016,90059
29/02/2016,80152
01/03/2016,87759
02/03/2016,88779
03/03/2016,79787
04/03/2016,86493
05/03/2016,102170
06/03/2016,95178
07/03/2016,84681
08/03/2016,84111
09/03/2016,79580
10/03/2016,76879
11/03/2016,82962
12/03/2016,97275
13/03/2016,90435
14/03/2016,78924
15/03/2016,79651
16/03/2016,81758
17/03/2016,76268
18/03/2016,83179
19/03/2016,96783
20/03/2016,89769
21/03/2016,81185
22/03/2016,77409
23/03/2016,82331
24/03/2016,86834
25/03/2016,78832
26/03/2016,91232
27/03/2016,82305
28/03/2016,76647
29/03/2016,75782
30/03/2016,75656
31/03/2016,77024
01/04/2016,89055
02/04/2016,104451
03/04/2016,103230
04/04/2016,85017
05/04/2016,82629
06/04/2016,81402
07/04/2016,76736
08/04/2016,83533
09/04/2016,97454
10/04/2016,91977
11/04/2016,77860
12/04/2016,82484
13/04/2016,79657
14/04/2016,74291
15/04/2016,82751
16/04/2016,90313
17/04/2016,93018
18/04/2016,103559
19/04/2016,99289
20/04/2016,95079
21/04/2016,85533
22/04/2016,86662
23/04/2016,100468
24/04/2016,93993
25/04/2016,78301
26/04/2016,77218
27/04/2016,77369
28/04/2016,72957
29/04/2016,82711
30/04/2016,102800
01/05/2016,102012
02/05/2016,85259
03/05/2016,85500
04/05/2016,86207
05/05/2016,82198
06/05/2016,91159
07/05/2016,118222
08/05/2016,97132
09/05/2016,82043
10/05/2016,78194
11/05/2016,80761
12/05/2016,76099
13/05/2016,82265
14/05/2016,97755
15/05/2016,95910
16/05/2016,81129
17/05/2016,78372
18/05/2016,74552
19/05/2016,74826
20/05/2016,84185
21/05/2016,97053
22/05/2016,93629
23/05/2016,79595
24/05/2016,74225
25/05/2016,75039
26/05/2016,74328
27/05/2016,88580
28/05/2016,89086
29/05/2016,87606
30/05/2016,80249
31/05/2016,92987
01/06/2016,88574
02/06/2016,79393
03/06/2016,84747
04/06/2016,100607
05/06/2016,97418
06/06/2016,80840
07/06/2016,78126
08/06/2016,79997
09/06/2016,73785
10/06/2016,80306
11/06/2016,93473
12/06/2016,89740
13/06/2016,76448
14/06/2016,75874
15/06/2016,79905
16/06/2016,80605
17/06/2016,85614
18/06/2016,107418
19/06/2016,92469
20/06/2016,80226
21/06/2016,78278
22/06/2016,77260
23/06/2016,72356
24/06/2016,78517
25/06/2016,91094
26/06/2016,88209
27/06/2016,75781
28/06/2016,73787
29/06/2016,76350
30/06/2016,73866
01/07/2016,89711
02/07/2016,101902
03/07/2016,96041
04/07/2016,84992
05/07/2016,82089
06/07/2016,83135
07/07/2016,76107
08/07/2016,83553
09/07/2016,94026
10/07/2016,88752
11/07/2016,78942
12/07/2016,76267
13/07/2016,76173
14/07/2016,73094
15/07/2016,82144
16/07/2016,94503
17/07/2016,87873
18/07/2016,80328
19/07/2016,77023
20/07/2016,81266
21/07/2016,74264
22/07/2016,80531
23/07/2016,91301
24/07/2016,85106
25/07/2016,79203
26/07/2016,76524
27/07/2016,77731
28/07/2016,71935
29/07/2016,82140
30/07/2016,96249
31/07/2016,91182
01/08/2016,87637
02/08/2016,85044
03/08/2016,84532
04/08/2016,78516
05/08/2016,84616
06/08/2016,93146
07/08/2016,87403
08/08/2016,81072
09/08/2016,77133
10/08/2016,79006
11/08/2016,77945
12/08/2016,83425
13/08/2016,84685
14/08/2016,78472
15/08/2016,81379
16/08/2016,81063
17/08/2016,81405
18/08/2016,75159
19/08/2016,82021
20/08/2016,91798
21/08/2016,87188
22/08/2016,80624
23/08/2016,78531
24/08/2016,78434
25/08/2016,73746
26/08/2016,79541
27/08/2016,87841
28/08/2016,83646
29/08/2016,75798
30/08/2016,75043
31/08/2016,80262
01/09/2016,80863
02/09/2016,88068
03/09/2016,99611
04/09/2016,93135
05/09/2016,83275
06/09/2016,83504
07/09/2016,79719
08/09/2016,75262
09/09/2016,79604
10/09/2016,94115
11/09/2016,91610
12/09/2016,77125
13/09/2016,74032
14/09/2016,73096
15/09/2016,74741
16/09/2016,80789
17/09/2016,94298
18/09/2016,92375
19/09/2016,76255
20/09/2016,76572
21/09/2016,76260
22/09/2016,71282
23/09/2016,78422
24/09/2016,90980
25/09/2016,87687
26/09/2016,75050
27/09/2016,68375
28/09/2016,72772
29/09/2016,68972
30/09/2016,79125
01/10/2016,103065
02/10/2016,99386
03/10/2016,84086
04/10/2016,79380
05/10/2016,79403
06/10/2016,73892
07/10/2016,79737
08/10/2016,94142
09/10/2016,93562
10/10/2016,77691
11/10/2016,73298
12/10/2016,73721
13/10/2016,70643
14/10/2016,79146
15/10/2016,92768
16/10/2016,93951
17/10/2016,76614
18/10/2016,73632
19/10/2016,72931
20/10/2016,73196
21/10/2016,78245
22/10/2016,89857
23/10/2016,90866
24/10/2016,73354
25/10/2016,73074
26/10/2016,72818
27/10/2016,71506
28/10/2016,76876
29/10/2016,90428
30/10/2016,88744
31/10/2016,75988
01/11/2016,85050
02/11/2016,90454
03/11/2016,82525
04/11/2016,85762
05/11/2016,88820
06/11/2016,92150
07/11/2016,83114
08/11/2016,79917
09/11/2016,80077
10/11/2016,72768
11/11/2016,78815
12/11/2016,92716
13/11/2016,98409
14/11/2016,77317
15/11/2016,76651
16/11/2016,81603
17/11/2016,74999
18/11/2016,81854
19/11/2016,94791
20/11/2016,96368
21/11/2016,81536
22/11/2016,80748
23/11/2016,82390
24/11/2016,76479
25/11/2016,86981
26/11/2016,96748
27/11/2016,95628
28/11/2016,79717
29/11/2016,74449
30/11/2016,80680
01/12/2016,84647
02/12/2016,86775
03/12/2016,102429
04/12/2016,103907
05/12/2016,88947
06/12/2016,92700
07/12/2016,88699
08/12/2016,82550
09/12/2016,90723
10/12/2016,100618
11/12/2016,101077
12/12/2016,86093
13/12/2016,85927
14/12/2016,89417
15/12/2016,91525
16/12/2016,99717
17/12/2016,114465
18/12/2016,116289
19/12/2016,106760
20/12/2016,116392
21/12/2016,132060
22/12/2016,138892
23/12/2016,156932
24/12/2016,167542
26/12/2016,105524
27/12/2016,95643
28/12/2016,103717
29/12/2016,102665
30/12/2016,127771
31/12/2016,135568
01/01/2017,1642
02/01/2017,107718
03/01/2017,97185
04/01/2017,91527
05/01/2017,84930
06/01/2017,89963
07/01/2017,102954
08/01/2017,96784
09/01/2017,82111
10/01/2017,79932
11/01/2017,80692
12/01/2017,75691
13/01/2017,84068
14/01/2017,99921
15/01/2017,97107
16/01/2017,84038
17/01/2017,80093
18/01/2017,80984
19/01/2017,74388
20/01/2017,78949
21/01/2017,101813
22/01/2017,96999
23/01/2017,83426
24/01/2017,79149
25/01/2017,79315
26/01/2017,72551
27/01/2017,82681
28/01/2017,97396
29/01/2017,91697
30/01/2017,75086
31/01/2017,82058
01/02/2017,87964
02/02/2017,83067
03/02/2017,88575
04/02/2017,105312
05/02/2017,97630
06/02/2017,84557
07/02/2017,83402
08/02/2017,83891
09/02/2017,77382
10/02/2017,86359
11/02/2017,97213
12/02/2017,93429
13/02/2017,93688
14/02/2017,99371
15/02/2017,80501
16/02/2017,77887
17/02/2017,84398
18/02/2017,101410
19/02/2017,81949
20/02/2017,79470
21/02/2017,79807
22/02/2017,79788
23/02/2017,82795
24/02/2017,89170
25/02/2017,101255
26/02/2017,80860
27/02/2017,79336
28/02/2017,87904
01/03/2017,89799
02/03/2017,86294
03/03/2017,89211
04/03/2017,103055
05/03/2017,97988
06/03/2017,82584
07/03/2017,82315
08/03/2017,86740
09/03/2017,76926
10/03/2017,84691
11/03/2017,97521
12/03/2017,95842
13/03/2017,79887
14/03/2017,78200
15/03/2017,84574
16/03/2017,79030
17/03/2017,87303
18/03/2017,99094
19/03/2017,96738
20/03/2017,85005
21/03/2017,81716
22/03/2017,80140
23/03/2017,77989
24/03/2017,83314
25/03/2017,99235
26/03/2017,92660
27/03/2017,80872
28/03/2017,77666
29/03/2017,81918
30/03/2017,75304
31/03/2017,87034
01/04/2017,113083
02/04/2017,94696
03/04/2017,81294
04/04/2017,84872
05/04/2017,85255
06/04/2017,80775
07/04/2017,85781
08/04/2017,98033
09/04/2017,94617
10/04/2017,81868
11/04/2017,84105
12/04/2017,84052
13/04/2017,90752
14/04/2017,86517
15/04/2017,97165
16/04/2017,90664
17/04/2017,83043
18/04/2017,80334
19/04/2017,78999
20/04/2017,82905
21/04/2017,90055
22/04/2017,101125
23/04/2017,101186
24/04/2017,81901
25/04/2017,82193
26/04/2017,84709
27/04/2017,78971
28/04/2017,87474
29/04/2017,104870
30/04/2017,96514
01/05/2017,106440
02/05/2017,88668
03/05/2017,89713
04/05/2017,81957
05/05/2017,85333
06/05/2017,104203
07/05/2017,103210
08/05/2017,84221
09/05/2017,82345
10/05/2017,83637
11/05/2017,81476
12/05/2017,91482
13/05/2017,121889
14/05/2017,101257
15/05/2017,83716
16/05/2017,85528
17/05/2017,85560
18/05/2017,77561
19/05/2017,86286
20/05/2017,101709
21/05/2017,101626
22/05/2017,84049
23/05/2017,82008
24/05/2017,81879
25/05/2017,78501
26/05/2017,96455
27/05/2017,96509
28/05/2017,94970
29/05/2017,83121
30/05/2017,83210
31/05/2017,93365
01/06/2017,90171
02/06/2017,91840
03/06/2017,106965
04/06/2017,106972
05/06/2017,88273
06/06/2017,84447
07/06/2017,85758
08/06/2017,78500
09/06/2017,87431
10/06/2017,99716
11/06/2017,100856
12/06/2017,81080
13/06/2017,81063
14/06/2017,82752
15/06/2017,81831
16/06/2017,92852
17/06/2017,114201
18/06/2017,99193
19/06/2017,82891
20/06/2017,83508
21/06/2017,82929
22/06/2017,77639
23/06/2017,86346
24/06/2017,99057
25/06/2017,95082
26/06/2017,81443
27/06/2017,79226
28/06/2017,80551
29/06/2017,77922
30/06/2017,88368
01/07/2017,108993
02/07/2017,104392
03/07/2017,90976
04/07/2017,89109
05/07/2017,89085
06/07/2017,82927
07/07/2017,89467
08/07/2017,101349
09/07/2017,97757
10/07/2017,85547
11/07/2017,83071
12/07/2017,84155
13/07/2017,78720
14/07/2017,87671
15/07/2017,100293
16/07/2017,96119
17/07/2017,85477
18/07/2017,82267
19/07/2017,83265
20/07/2017,82423
21/07/2017,88613
22/07/2017,97358
23/07/2017,94170
24/07/2017,85120
25/07/2017,81930
26/07/2017,82113
27/07/2017,78743
28/07/2017,89197
29/07/2017,100227
30/07/2017,94899
31/07/2017,88593
01/08/2017,92083
02/08/2017,93023
03/08/2017,85521
04/08/2017,91305
05/08/2017,101108
06/08/2017,96162
07/08/2017,87072
08/08/2017,83422
09/08/2017,85452
10/08/2017,83064
11/08/2017,89551
12/08/2017,89927
13/08/2017,85993
14/08/2017,85448
15/08/2017,86561
